Name,Data Type,Statistical Method,Effect Measure,Analysis Model,Events 1,Mean 1,SD 1,Total 1,Events 2,Mean 2,SD 2,Total 2,Effect Estimate,SE,CI Start,CI End,Weight,Q,P(Q),I²(Q),Tau²,Z,P(Z),Qint,P(Qint),I²(Qint),df,Year of study
Serious adverse events: Kawasaki disease,DIC,MH,Risk Ratio,Random,4,,,7701,0,,,5416,1.7495631,,0.28518861,10.73314599,100,0.22460316,0.89377467,0,0,0.60438543,0.54558742,0,1,0,2,
RIX Phua 2005-SGP,,,,,2,0,0,1811,0,0,0,653,1.80463576,1.54852158,0.08675322,37.53993485,35.72150836,,,,,,,,,,,2005
RIX Phua 2009-AS,,,,,1,0,0,4272,0,0,0,4226,2.96770419,1.63284906,0.12093081,72.8289842,32.12715197,,,,,,,,,,,2009
RIX Salinas 2005-LA,,,,,1,0,0,1618,0,0,0,537,0.99691167,1.63223475,0.04067204,24.43528541,32.15133967,,,,,,,,,,,2005
Serious adverse events requiring hospitalization,DIC,MH,Risk Ratio,Random,887,,,31973,1003,,,31702,0.88034168,,0.80539696,0.96226025,100,0.10831634,0.74206919,0,0,2.80740001,0.00499432,0,1,0,1,
RIX Ruiz-Palac 06-LA/EU,,,,,886,0,0,31673,1003,0,0,31552,0.8799753,0.04541377,0.80503397,0.96189298,99.92243031,,,,,,,,,,,2006
RIX Steele 2008-ZAF,,,,,1,0,0,300,0,0,0,150,1.50498339,1.62994536,0.0616765,36.72347042,0.07756969,,,,,,,,,,,2008
Rotavirus diarrhoea: of any severity (up to 2 months follow-up),DIC,MH,Risk Ratio,Random,39,,,3015,19,,,1279,1.14303693,,0.66310612,1.97032326,100,2.91895781,0.93933989,0,0,0.48121345,0.6303648,0.18237222,0.91284785,0,8,
Low-mortality countries,DIC,MH,Risk Ratio,Random,8,,,1450,3,,,611,0.87735683,,0.23188961,3.31948906,16.74483177,0.65148039,0.7219928,0,0,0.19272097,0.8471775,,,,2,
RIX GSK[041] 2007-KOR,,,,,1,0,0,103,1,0,0,52,0.50485437,1.40394462,0.03222006,7.91053662,3.91574024,,,,,,,,,,,2007
RIX Kim 2012-KOR,,,,,0,0,0,508,0,0,0,176,0,0,0,0,0,,,,,,,,,,,2012
RIX Omenaca 2012-EU,,,,,3,0,0,670,2,0,0,339,0.75895522,0.91043448,0.12742449,4.52042626,9.31143107,,,,,,,,,,,2009
RIX Vesikari 2011-FIN,,,,,4,0,0,169,0,0,0,44,2.38235294,1.48125543,0.13066498,43.43631853,3.51766046,,,,,,,,,,,2011
Medium-mortality countries,DIC,MH,Risk Ratio,Random,4,,,392,0,,,52,1.21374046,,0.0662762,22.22767722,3.50696412,0,1,0,0,0.13057312,0.89611301,,,,0,
RIX Kerdpanich 2010-THA,,,,,4,0,0,392,0,0,0,52,1.21374046,1.48351265,0.0662762,22.22767722,3.50696412,,,,,,,,,,,2011
High-mortality countries,DIC,MH,Risk Ratio,Random,27,,,1173,16,,,616,1.20513682,,0.65498254,2.21739462,79.74820411,2.09657381,0.71800203,0,0,0.59978987,0.54864629,,,,4,
RIX Anh 2011-PHL,,,,,1,0,0,270,1,0,0,66,0.24444444,1.40753145,0.01549128,3.85720848,3.89580861,,,,,,,,,,,2011
RIX Anh 2011-VNM,,,,,0,0,0,275,0,0,0,71,0,0,0,0,0,,,,,,,,,,,2011
RIX GSK[101555] 2008-PHL,,,,,4,0,0,100,1,0,0,50,2,1.1045361,0.22953407,17.42660671,6.32636138,,,,,,,,,,,2008
RIX Narang 2009-IND,,,,,0,0,0,182,0,0,0,181,0,0,0,0,0,,,,,,,,,,,2009
RIX Rivera 2011-DOM,,,,,10,0,0,100,6,0,0,100,1.66666667,0.49665548,0.62964366,4.41166637,31.28984144,,,,,,,,,,,2009
RIX Steele 2010a-ZAF,,,,,4,0,0,50,4,0,0,50,1,0.678233,0.26465922,3.77844387,16.77861063,,,,,,,,,,,
RIX Zaman 2009-BGD,,,,,8,0,0,196,4,0,0,98,1,0.59974484,0.30867131,3.2396921,21.45758205,,,,,,,,,,,2009
Rotavirus diarrhoea: of any severity (up to 1 year follow-up),DIC,MH,Risk Ratio,Random,429,,,11870,659,,,7730,0.35918136,,0.25854529,0.49898897,100,56.31676473,0.00000001,84.01896834,0.20722583,6.10440051,0,20.74054045,0.00003135,90.35704974,9,
Low-mortality countries,DIC,MH,Risk Ratio,Random,33,,,2925,125,,,1532,0.15045363,,0.09577779,0.2363418,21.45310969,2.28725046,0.31866208,12.55876727,0.0269924,8.22004051,0,,,,2,
RIX Bernstein 1999-USA,,,,,2,0,0,108,18,0,0,107,0.1100823,0.73276906,0.02618083,0.46286215,3.78074005,,,,,,,,,,,1999
RIX Vesikari 2004b-FIN,,,,,7,0,0,245,13,0,0,123,0.27032967,0.45559687,0.11068505,0.66023489,6.78296936,,,,,,,,,,,2004
RIX Vesikari 2007a-EU,,,,,24,0,0,2572,94,0,0,1302,0.12924787,0.22615949,0.08296905,0.2013403,10.88940028,,,,,,,,,,,2007
Medium-mortality countries,DIC,MH,Risk Ratio,Random,86,,,3102,145,,,2090,0.33565852,,0.25581582,0.44042094,22.80684477,0.48155358,0.48771949,0,0,7.87675922,0,,,,1,
RIX Li 2014-CHN,,,,,27,0,0,1575,90,0,0,1573,0.29961905,0.21651212,0.19600808,0.45799936,11.07241409,,,,,,,,,,,2014
RIX Salinas 2005-LA,,,,,59,0,0,1527,55,0,0,517,0.36319581,0.18039361,0.25502896,0.51724006,11.73443068,,,,,,,,,,,2005
High-mortality countries,DIC,MH,Risk Ratio,Random,310,,,5843,389,,,4108,0.5143156,,0.38848141,0.68090913,55.74004553,13.27902019,0.00998995,69.87729559,0.06531319,4.64452575,0.00000341,,,,4,
RIX Colgate 2016-BGD,,,,,67,0,0,350,114,0,0,350,0.5877193,0.13410077,0.45188005,0.76439306,12.49301405,,,,,,,,,,,2016
RIX Madhi 2010-MWI,,,,,109,0,0,1182,85,0,0,591,0.64117647,0.13565009,0.49148697,0.83645608,12.46987318,,,,,,,,,,,
RIX Madhi 2010-ZAF,,,,,91,0,0,2116,128,0,0,1050,0.3527809,0.13182011,0.27245801,0.45678363,12.526748,,,,,,,,,,,
RIX Steele 2010b-ZAF,,,,,13,0,0,379,9,0,0,96,0.36587511,0.41830491,0.16116513,0.83060521,7.36133366,,,,,,,,,,,2007
RIX Zaman 2017-BGD,,,,,30,0,0,1816,53,0,0,2021,0.62993517,0.22617646,0.4043655,0.98133572,10.88907663,,,,,,,,,,,2017
Rotavirus diarrhoea: of any severity (2nd year of life),DIC,MH,Risk Ratio,Random,163,,,7274,247,,,5470,0.4830988,,0.32315003,0.722217,100,17.94258741,0.00637729,66.56000686,0.17214845,3.54619448,0.00039084,10.66384698,0.00483477,81.24504221,6,
Low-mortality countries,DIC,MH,Risk Ratio,Random,73,,,2886,136,,,1507,0.29031075,,0.21998554,0.3831176,42.47959222,0.61602123,0.73490756,0,0,8.73892126,0,,,,2,
RIX Bernstein 1999-USA,,,,,6,0,0,91,15,0,0,93,0.40879121,0.45999091,0.1659421,1.00703953,10.96842922,,,,,,,,,,,1999
RIX Vesikari 2004b-FIN,,,,,6,0,0,241,11,0,0,120,0.27159562,0.49506873,0.10292467,0.71668124,10.08774532,,,,,,,,,,,2004
RIX Vesikari 2007a-EU,,,,,61,0,0,2554,110,0,0,1294,0.28096391,0.15594875,0.20696968,0.38141199,21.42341768,,,,,,,,,,,2007
Medium-mortality countries,DIC,MH,Risk Ratio,Random,70,,,1886,87,,,1610,0.68524373,,0.37843129,1.24080378,33.91939395,2.28253092,0.13083833,56.1889835,0.11071924,1.24773209,0.21212921,,,,1,
RIX Li 2014-CHN,,,,,43,0,0,1500,78,0,0,1479,0.5435641,0.18636933,0.3772358,0.78322877,20.3450584,,,,,,,,,,,2014
RIX Salinas 2005-LA,,,,,27,0,0,386,9,0,0,131,1.01813472,0.37138105,0.49168292,2.10826584,13.57433554,,,,,,,,,,,2005
High-mortality countries,DIC,MH,Risk Ratio,Random,20,,,2502,24,,,2353,0.65590852,,0.36305579,1.18498588,23.60101383,0.73083684,0.3926121,0,0,1.39751908,0.16225753,,,,1,
RIX Madhi 2010-ZAF,,,,,9,0,0,686,9,0,0,332,0.48396501,0.46663953,0.19391423,1.2078646,10.79511736,,,,,,,,,,,
RIX Zaman 2017-BGD,,,,,11,0,0,1816,15,0,0,2021,0.81611601,0.39563909,0.37582294,1.77223171,12.80589647,,,,,,,,,,,2017
Rotavirus diarrhoea: of any severity (up to 2 years follow-up),DIC,MH,Risk Ratio,Random,328,,,9815,587,,,6328,0.36948175,,0.25498845,0.53538409,100,43.30523223,0.00000029,83.83567149,0.20996234,5.26162016,0.00000014,22.97257382,0.00001027,91.29396638,7,
Low-mortality countries,DIC,MH,Risk Ratio,Random,108,,,4704,264,,,2174,0.22003593,,0.17729887,0.27307457,41.20395065,0.82210057,0.84417396,0,0,13.74049633,0,,,,3,
RIX Bernstein 1999-USA,,,,,8,0,0,108,33,0,0,107,0.24017957,0.36972689,0.11636543,0.49573339,10.32936739,,,,,,,,,,,1999
RIX Phua 2005-SGP,,,,,2,0,0,1779,4,0,0,642,0.18043845,0.8648007,0.03312908,0.98276295,3.73838226,,,,,,,,,,,2005
RIX Vesikari 2004b-FIN,,,,,13,0,0,245,23,0,0,123,0.2837622,0.32892191,0.14892778,0.54067138,11.2549416,,,,,,,,,,,2004
RIX Vesikari 2007a-EU,,,,,85,0,0,2572,204,0,0,1302,0.21092535,0.12453841,0.1652424,0.26923782,15.8812594,,,,,,,,,,,2007
Medium-mortality countries,DIC,MH,Risk Ratio,Random,114,,,1961,194,,,1704,0.45594019,,0.35370548,0.58772471,29.43760926,1.15164581,0.28320494,13.16774719,0.00519714,6.06286446,0,,,,1,
RIX Li 2014-CHN,,,,,70,0,0,1575,167,0,0,1573,0.41862941,0.13785169,0.3195142,0.54849075,15.63896255,,,,,,,,,,,2014
RIX Salinas 2005-LA,,,,,44,0,0,386,27,0,0,131,0.55306083,0.22257594,0.35753283,0.85551945,13.79864671,,,,,,,,,,,2005
High-mortality countries,DIC,MH,Risk Ratio,Random,106,,,3150,129,,,2450,0.54931055,,0.32316004,0.93372338,29.3584401,4.2958281,0.03820617,76.72160115,0.11270656,2.21331082,0.02687622,,,,1,
RIX Madhi 2010-ZAF,,,,,41,0,0,843,48,0,0,408,0.41340451,0.20392733,0.27719918,0.61653604,14.23494463,,,,,,,,,,,
RIX Zaman 2017-BGD,,,,,65,0,0,2307,81,0,0,2042,0.71029128,0.16372879,0.51531204,0.97904505,15.12349546,,,,,,,,,,,2017
All-cause diarrhoea: all cases (up to 2 months follow-up),DIC,MH,Risk Ratio,Random,260,,,2334,107,,,798,0.90181755,,0.73214322,1.11081395,100,1.41794347,0.9647578,0,0,0.97175424,0.33117284,1.15245377,0.5620151,0,6,
Low-mortality countries,DIC,MH,Risk Ratio,Random,112,,,1347,58,,,559,0.79950616,,0.59004728,1.08332013,47.07544131,0.09171473,0.9551782,0,0,1.44363319,0.14884218,,,,2,
RIX Kim 2012-KOR,,,,,42,0,0,508,17,0,0,176,0.85595183,0.27382975,0.50045499,1.46397489,15.08302248,,,,,,,,,,,2012
RIX Omenaca 2012-EU,,,,,55,0,0,670,36,0,0,339,0.77300995,0.20375771,0.51849695,1.15245497,27.24090381,,,,,,,,,,,2009
RIX Vesikari 2011-FIN,,,,,15,0,0,169,5,0,0,44,0.78106509,0.48787522,0.30019751,2.03220432,4.75151501,,,,,,,,,,,2011
Medium-mortality countries,DIC,MH,Risk Ratio,Random,51,,,392,7,,,52,0.9664723,,0.46336454,2.01583988,8.03909954,0,1,0,0,0.09092156,0.92755492,,,,0,
RIX Kerdpanich 2010-THA,,,,,51,0,0,392,7,0,0,52,0.9664723,0.37507759,0.46336454,2.01583988,8.03909954,,,,,,,,,,,2011
High-mortality countries,DIC,MH,Risk Ratio,Random,97,,,595,42,,,187,1.0106049,,0.74039955,1.37942043,44.88545915,0.15336567,0.92618358,0,0,0.06645719,0.94701384,,,,2,
RIX Anh 2011-PHL,,,,,29,0,0,270,8,0,0,66,0.88611111,0.37500339,0.42489803,1.84795607,8.0422812,,,,,,,,,,,2011
RIX Anh 2011-VNM,,,,,44,0,0,275,11,0,0,71,1.03272727,0.30970227,0.56281621,1.89498027,11.79127776,,,,,,,,,,,2011
RIX Steele 2010a-ZAF,,,,,24,0,0,50,23,0,0,50,1.04347826,0.21247336,0.68805912,1.58249029,25.0519002,,,,,,,,,,,
All-cause diarrhoea: all cases (up to 1 year follow-up),DIC,MH,Risk Ratio,Random,986,,,1977,586,,,967,0.9441238,,0.84294516,1.05744689,100,5.00461406,0.08189591,60.03687848,0.00538895,0.99416509,0.32014252,3.11752145,0.0774548,67.92323597,2,
Medium-mortality countries,DIC,MH,Risk Ratio,Random,688,,,1627,284,,,617,0.88677588,,0.80078861,0.98199631,47.25424405,0.56929788,0.45053817,0,0,2.30907918,0.02093919,,,,1,
RIX Rivera 2011-DOM,,,,,32,0,0,100,31,0,0,100,1.03225806,0.20858587,0.68586663,1.55359172,6.84078335,,,,,,,,,,,2009
RIX Salinas 2005-LA,,,,,656,0,0,1527,253,0,0,517,0.87787933,0.05373867,0.79011878,0.97538767,40.4134607,,,,,,,,,,,2005
High-mortality countries,DIC,MH,Risk Ratio,Random,298,,,350,302,,,350,0.98675497,,0.92883075,1.04829148,52.74575595,0,1,0,0,0.43198858,0.66574971,,,,0,
RIX Colgate 2016-BGD,,,,,298,0,0,350,302,0,0,350,0.98675497,0.03086547,0.92883075,1.04829148,52.74575595,,,,,,,,,,,2016
All-cause diarrhoea: all cases (up to 2 years follow-up),DIC,MH,Risk Ratio,Random,1261,,,3985,975,,,2469,0.93614343,,0.87746418,0.99874676,100,3.29804044,0.34791554,9.03689474,0.00049112,1.99793314,0.04572391,2.00893495,0.15637544,50.22238022,3,
Low-mortality countries,DIC,MH,Risk Ratio,Random,243,,,2024,111,,,765,0.80753574,,0.64947317,1.00406607,9.25998154,1.01324356,0.31412731,1.30704564,0.00115378,1.92345227,0.05442327,,,,1,
RIX Phua 2005-SGP,,,,,231,0,0,1779,100,0,0,642,0.83362563,0.11049551,0.67130071,1.03520178,8.58880363,,,,,,,,,,,2005
RIX Vesikari 2004b-FIN,,,,,12,0,0,245,11,0,0,123,0.54768089,0.40253038,0.24882448,1.20548573,0.67117791,,,,,,,,,,,2004
Medium-mortality countries,DIC,MH,Risk Ratio,Random,1018,,,1961,864,,,1704,0.95086537,,0.89551215,1.00964007,90.74001846,0.12827456,0.72022786,0,0,1.64644721,0.09967172,,,,1,
RIX Li 2014-CHN,,,,,728,0,0,1575,759,0,0,1573,0.95793881,0.03768953,0.8897262,1.03138107,57.06205575,,,,,,,,,,,2014
RIX Salinas 2005-LA,,,,,290,0,0,386,105,0,0,131,0.93733037,0.05241969,0.8458103,1.03875329,33.67796272,,,,,,,,,,,2005
All-cause diarrhoea: all episodes (up to 1 year follow-up),INV,IV,Rate Ratio,Random,0,,,1598,0,,,606,0.98268264,,0.88123202,1.09581262,100,0.04050754,0.84049158,0,0,0.31421685,0.75335634,0,1,0,1,
Medium-mortality countries,INV,IV,Rate Ratio,Random,0,,,1598,0,,,606,0.98268264,,0.88123202,1.09581262,100,0.04050754,0.84049158,0,0,0.31421685,0.75335634,,,,1,
RIX Rivera 2011-DOM,,,,,0,0,0,100,0,0,0,100,1.03251751,0.252,0.63007846,1.69199943,4.86719698,,,,,,,,,,,2009
RIX Salinas 2005-LA,,,,,0,0,0,1498,0,0,0,506,0.98019867,0.057,0.8765882,1.09605563,95.13280302,,,,,,,,,,,2005
All-cause diarrhoea: all episodes (up to 2 years follow-up),INV,IV,Rate Ratio,Random,0,,,490,0,,,246,1.01612869,,0.77684451,1.32911734,100,0,1,0,0,0.11678832,0.9070278,0,1,0,0,
Low-mortality countries,INV,IV,Rate Ratio,Random,0,,,490,0,,,246,1.01612869,,0.77684451,1.32911734,100,0,1,0,0,0.11678832,0.9070278,,,,0,
RIX Vesikari 2004b-FIN,,,,,0,0,0,490,0,0,0,246,1.01612869,0.137,0.77684451,1.32911734,100,,,,,,,,,,,2004
All-cause hospitalizations (up to 2 years follow-up),DIC,MH,Risk Ratio,Random,896,,,33452,1013,,,32194,0.62895021,,0.26974004,1.46651709,100,3.97393558,0.04620972,74.83602895,0.2973083,1.07352772,0.28303442,3.97372516,0.0462155,74.83469643,1,
Low-mortality countries,DIC,MH,Risk Ratio,Random,10,,,1779,10,,,642,0.3608769,,0.15090821,0.86298909,37.67758112,0,1,0,0,2.29121592,0.02195093,,,,0,
RIX Phua 2005-SGP,,,,,10,0,0,1779,10,0,0,642,0.3608769,0.44483733,0.15090821,0.86298909,37.67758112,,,,,,,,,,,2005
Medium-mortality countries,DIC,MH,Risk Ratio,Random,886,,,31673,1003,,,31552,0.8799753,,0.80503397,0.96189298,62.32241888,0,1,0,0,2.81547717,0.00487049,,,,0,
RIX Ruiz-Palac 06-LA/EU,,,,,886,0,0,31673,1003,0,0,31552,0.8799753,0.04541377,0.80503397,0.96189298,62.32241888,,,,,,,,,,,2006
Rotavirus diarrhoea: requiring hospitalization,DIC,MH,Risk Ratio,Random,,,,,,,,,,,,,,,,,,,,,,,,
Up to 1 year follow-up (at least 1 rotavirus season),DIC,MH,Risk Ratio,Random,44,,,27428,150,,,21290,0.17618355,,0.09381385,0.33087484,100,15.4081733,0.03110902,54.569566,0.36969861,5.39966919,0.00000007,,,,7,
RIX Bernstein 1999-USA,,,,,0,0,0,108,2,0,0,107,0.19816514,1.54323246,0.00962555,4.07970824,3.75791741,,,,,,,,,,,1999
RIX Li 2014-CHN,,,,,2,0,0,1575,14,0,0,1573,0.14267574,0.75508802,0.03248015,0.6267325,11.00064367,,,,,,,,,,,2014
RIX Madhi 2010-AF,,,,,20,0,0,3298,19,0,0,1641,0.52376241,0.31893413,0.28032195,0.97861428,21.93177994,,,,,,,,,,,2010
RIX Phua 2009-AS,,,,,0,0,0,5263,13,0,0,5256,0.03698779,1.4400326,0.00219938,0.62203712,4.23142284,,,,,,,,,,,2009
RIX Ruiz-Palac 06-LA/EU,,,,,9,0,0,9009,59,0,0,8858,0.14998561,0.35754213,0.07442334,0.30226648,20.78050235,,,,,,,,,,,2006
RIX Salinas 2005-LA,,,,,9,0,0,1392,14,0,0,454,0.20966749,0.4238144,0.09136495,0.4811523,18.82159477,,,,,,,,,,,2005
RIX Tregnaghi 2011-LA,,,,,4,0,0,4211,17,0,0,2099,0.11728386,0.55507625,0.0395145,0.34811283,15.25361612,,,,,,,,,,,2011
RIX Vesikari 2007a-EU,,,,,0,0,0,2572,12,0,0,1302,0.02025651,1.44181965,0.00120029,0.34185641,4.22252291,,,,,,,,,,,2007
Up to 2 years follow-up (at least 2 rotavirus seasons),DIC,MH,Risk Ratio,Random,33,,,19115,212,,,16216,0.15378493,,0.10632889,0.22242126,100,5.66415366,0.46184267,0,0,9.94380924,0,,,,6,
RIX Kawamura 2011-JPN,,,,,1,0,0,498,2,0,0,250,0.25100402,1.22228964,0.02286998,2.75483441,2.37274319,,,,,,,,,,,2011
RIX Li 2014-CHN,,,,,4,0,0,1575,21,0,0,1573,0.19023432,0.54437891,0.06545046,0.55292348,11.96179657,,,,,,,,,,,2014
RIX Phua 2005-SGP,,,,,0,0,0,1779,1,0,0,642,0.12041199,1.63234483,0.00491151,2.95205305,1.33037838,,,,,,,,,,,2005
RIX Phua 2009-AS,,,,,3,0,0,5263,48,0,0,5256,0.06241687,0.59479946,0.01945395,0.20026093,10.0197725,,,,,,,,,,,2009
RIX Ruiz-Palac 06-LA/EU,,,,,22,0,0,7205,127,0,0,7081,0.17024704,0.2303227,0.10839981,0.26738104,66.82293015,,,,,,,,,,,2006
RIX Vesikari 2004b-FIN,,,,,1,0,0,241,0,0,0,120,1.5,1.62919304,0.06156298,36.54793903,1.33553079,,,,,,,,,,,2004
RIX Vesikari 2007a-EU,,,,,2,0,0,2554,13,0,0,1294,0.07794711,0.75878768,0.01761647,0.34489053,6.15684841,,,,,,,,,,,2007
Rotavirus diarrhoea: requiring medical attention,DIC,MH,Risk Ratio,Random,,,,,,,,,,,,,,,,,,,,,,,,
Up to 1 year follow-up (at least 1 rotavirus season),DIC,MH,Risk Ratio,Random,10,,,2572,62,,,1302,0.08164852,,0.04200749,0.15869743,100,0,1,0,0,7.38871345,0,,,,0,
RIX Vesikari 2007a-EU,,,,,10,0,0,2572,62,0,0,1302,0.08164852,0.33907548,0.04200749,0.15869743,100,,,,,,,,,,,2007
Up to 2 years follow-up (at least 2 rotavirus seasons),DIC,MH,Risk Ratio,Random,45,,,4831,103,,,2186,0.22275792,,0.15803999,0.31397808,100,1.09257405,0.57909611,0,0,8.57487335,0,,,,2,
RIX Kawamura 2011-JPN,,,,,14,0,0,498,34,0,0,250,0.20670919,0.30794854,0.11304035,0.377995,32.33978126,,,,,,,,,,,2011
RIX Phua 2005-SGP,,,,,0,0,0,1779,3,0,0,642,0.05160514,1.5111576,0.00266927,0.99768308,1.34299335,,,,,,,,,,,2005
RIX Vesikari 2007a-EU,,,,,31,0,0,2554,66,0,0,1294,0.23797489,0.21504706,0.1561287,0.36272671,66.31722538,,,,,,,,,,,2007
All-cause diarrhoea: cases requiring hospitalization,DIC,MH,Risk Ratio,Random,,,,,,,,,,,,,,,,,,,,,,,,
Up to one year of follow-up (at least 1 rotavirus season),DIC,MH,Risk Ratio,Random,149,,,12046,171,,,8657,0.54148695,,0.35294219,0.83075394,100,6.20360688,0.04496807,67.76069085,0.09243417,2.80904632,0.00496885,,,,2,
RIX Phua 2009-AS,,,,,60,0,0,5263,90,0,0,5256,0.66577997,0.16552194,0.48132475,0.92092287,39.79692173,,,,,,,,,,,2009
RIX Tregnaghi 2011-LA,,,,,78,0,0,4211,59,0,0,2099,0.65897629,0.17045755,0.47181969,0.92037225,39.25371878,,,,,,,,,,,2011
RIX Vesikari 2007a-EU,,,,,11,0,0,2572,22,0,0,1302,0.25311042,0.36770475,0.12311733,0.52035637,20.94935949,,,,,,,,,,,2007
Second year of follow-up (at least 2 rotavirus seasons),DIC,MH,Risk Ratio,Random,182,,,7817,266,,,6550,0.5207186,,0.27438254,0.98821107,100,4.31160961,0.03785332,76.80680557,0.17011195,1.9962425,0.04590753,,,,1,
RIX Phua 2009-AS,,,,,164,0,0,5263,240,0,0,5256,0.68242447,0.09941812,0.56160341,0.82923849,59.36525591,,,,,,,,,,,2009
RIX Vesikari 2007a-EU,,,,,18,0,0,2554,26,0,0,1294,0.350762,0.3047175,0.19303521,0.63736549,40.63474409,,,,,,,,,,,2007
All-cause diarrhoea: episodes requiring hospitalization,INV,IV,Rate Ratio,Random,,,,,,,,,,,,,,,,,,,,,,,,
Up to 1 year of follow-up (at least 1 rotavirus season),INV,IV,Rate Ratio,Random,0,,,9009,0,,,8858,0.57926223,,0.47151884,0.71162529,100,0,1,0,0,5.2,0.0000002,,,,0,
RIX Ruiz-Palac 06-LA/EU,,,,,0,0,0,9009,0,0,0,8858,0.57926223,0.105,0.47151884,0.71162529,100,,,,,,,,,,,2006
Second year of follow-up (at least 2 rotavirus seasons),INV,IV,Rate Ratio,Random,0,,,7205,0,,,7081,0.52940582,,0.4561392,0.61444077,100,0,1,0,0,8.36842105,0,,,,0,
RIX Ruiz-Palac 06-LA/EU,,,,,0,0,0,7205,0,0,0,7081,0.52940582,0.076,0.4561392,0.61444077,100,,,,,,,,,,,2006
Reactogenicity: fever,DIC,MH,Risk Ratio,Random,,,,,,,,,,,,,,,,,,,,,,,,
After dose 1,DIC,MH,Risk Ratio,Random,2843,,,11028,994,,,5164,1.0646176,,0.96838028,1.17041896,100,38.1928812,0.03312742,37.16106445,0.01365615,1.29529851,0.19521727,,,,24,
RIX Anh 2011-PHL,,,,,239,0,0,300,54,0,0,75,1.10648148,0.07769139,0.95019582,1.28847258,11.86681955,,,,,,,,,,,2011
RIX Anh 2011-VNM,,,,,182,0,0,297,44,0,0,78,1.08631772,0.10970078,0.87615186,1.34689686,9.09610266,,,,,,,,,,,2011
RIX Bernstein 1998-USA,,,,,3,0,0,21,6,0,0,20,0.47619048,0.63433505,0.1373516,1.65092626,0.56168699,,,,,,,,,,,1998
RIX Bernstein 1999-USA,,,,,21,0,0,108,5,0,0,107,4.16111111,0.47855407,1.62878347,10.63053868,0.96296406,,,,,,,,,,,1999
RIX Dennehy 2005-NA,,,,,83,0,0,421,21,0,0,108,1.01391245,0.2191636,0.65985432,1.55794762,3.78808629,,,,,,,,,,,2005
RIX GSK[021] 2007-PAN,,,,,91,0,0,177,18,0,0,51,1.4566855,0.20319204,0.97815666,2.16931778,4.25317081,,,,,,,,,,,2007
RIX GSK[033] 2007-LA,,,,,98,0,0,730,15,0,0,124,1.10977169,0.25968513,0.66709741,1.84619695,2.88167922,,,,,,,,,,,2007
RIX GSK[041] 2007-KOR,,,,,10,0,0,100,3,0,0,52,1.73333333,0.63569062,0.49863327,6.02535897,0.55937224,,,,,,,,,,,2007
RIX GSK[101555] 2008-PHL,,,,,39,0,0,100,11,0,0,50,1.77272727,0.29419401,0.99591788,3.15544288,2.33201611,,,,,,,,,,,2008
RIX Kawamura 2011-JPN,,,,,38,0,0,508,12,0,0,257,1.60203412,0.32216388,0.85201132,3.01229955,1.98970751,,,,,,,,,,,2011
RIX Kerdpanich 2010-THA,,,,,68,0,0,348,6,0,0,52,1.69348659,0.39908422,0.77460564,3.702396,1.35135743,,,,,,,,,,,2011
RIX Kim 2012-KOR,,,,,43,0,0,508,13,0,0,176,1.14597214,0.30418509,0.63132246,2.08016065,2.20071805,,,,,,,,,,,2012
RIX Li 2013b-CHN,,,,,1,0,0,25,0,0,0,25,3,1.60926803,0.12802943,70.29633525,0.08976056,,,,,,,,,,,2013
RIX Li 2014-CHN,,,,,41,0,0,1513,66,0,0,1514,0.6216227,0.19550018,0.42375693,0.91187838,4.50459781,,,,,,,,,,,2014
RIX Narang 2009-IND,,,,,14,0,0,182,6,0,0,181,2.32051282,0.47652479,0.91193806,5.90476482,0.97071685,,,,,,,,,,,2009
RIX NCT00158756-RUS,,,,,43,0,0,78,13,0,0,25,1.06015779,0.2176198,0.69204159,1.62408524,3.82995058,,,,,,,,,,,
RIX Phua 2005-SGP,,,,,497,0,0,1811,183,0,0,653,0.97926454,0.0734369,0.8479894,1.13086206,12.26736554,,,,,,,,,,,2005
RIX Salinas 2005-LA,,,,,1002,0,0,1618,346,0,0,537,0.96114164,0.03752243,0.89299338,1.03449059,15.51256868,,,,,,,,,,,2005
RIX Steele 2008-ZAF,,,,,37,0,0,297,21,0,0,150,0.88985089,0.2541897,0.54069278,1.46448155,2.9856515,,,,,,,,,,,2008
RIX Steele 2010b-ZAF,,,,,62,0,0,189,30,0,0,96,1.04973545,0.1837245,0.73230716,1.50475725,4.92888565,,,,,,,,,,,2007
RIX Vesikari 2004a-FIN,,,,,8,0,0,122,3,0,0,62,1.35519126,0.65879252,0.37259359,4.92907922,0.52200483,,,,,,,,,,,2004
RIX Vesikari 2004b-FIN,,,,,32,0,0,265,14,0,0,133,1.14716981,0.30230149,0.63431973,2.07466128,2.22465178,,,,,,,,,,,2004
RIX Vesikari 2007a-EU,,,,,166,0,0,914,91,0,0,490,0.97794984,0.11780577,0.77631884,1.23194986,8.48694931,,,,,,,,,,,2007
RIX Vesikari 2011-FIN,,,,,9,0,0,200,1,0,0,50,2.25,1.04216655,0.29180232,17.34907366,0.21248371,,,,,,,,,,,2011
RIX Zaman 2009-BGD,,,,,16,0,0,196,12,0,0,98,0.66666667,0.3612855,0.32838398,1.35342911,1.62073228,,,,,,,,,,,2009
